"","SRR8507541.count","SRR8507542.count","SRR8507543.count","SRR8507544.count","SRR8507545.count","SRR8507546.count","SRR8507547.count","SRR8507548.count","SRR8507549.count","SRR8507550.count","SRR8507551.count","SRR8507552.count"
"hsa-miR-1184",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1185-1-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1185-2-3p",0,0,0,0,0,0,0,0,1,0,0,0
"hsa-miR-1185-5p",0,1,1,0,1,2,1,1,1,0,0,0
"hsa-miR-1193",0,0,0,0,0,0,0,0,0,1,1,0
"hsa-miR-1197",0,0,0,0,2,0,1,0,0,0,1,0
"hsa-miR-1199-3p",0,0,1,0,2,1,0,1,0,0,0,0
"hsa-miR-1199-5p",0,1,0,0,1,1,0,1,0,0,0,0
"hsa-miR-1200",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1202",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1203",1,0,0,0,1,1,1,3,0,0,0,0
"hsa-miR-1204",2,0,3,1,1,8,5,1,12,20,3,3
"hsa-miR-1205",18,14,34,16,31,40,23,18,80,102,34,18
"hsa-miR-1206",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-1207-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1207-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1208",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12113",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12114",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12115",70,67,103,80,215,366,240,137,508,566,160,130
"hsa-miR-12116",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12117",0,0,0,0,1,0,0,0,1,0,1,0
"hsa-miR-12118",0,1,0,0,0,0,0,0,0,0,1,0
"hsa-miR-12119",104,71,94,71,30,66,81,83,691,1296,254,283
"hsa-miR-12120",1,0,0,0,0,0,1,0,2,10,3,1
"hsa-miR-12121",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12122",143,91,179,162,224,335,224,172,383,404,138,88
"hsa-miR-12123",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12124",4,2,5,5,3,2,3,0,2,1,0,0
"hsa-miR-12125",24,23,26,19,47,81,58,38,107,100,43,22
"hsa-miR-12126",1,1,0,0,0,7,0,0,1,0,1,1
"hsa-miR-12127",0,0,2,0,1,2,0,0,2,0,0,0
"hsa-miR-12128",0,0,0,0,0,0,0,0,2,0,0,0
"hsa-miR-12129",89,74,126,112,203,333,270,172,355,434,134,117
"hsa-miR-12130",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12131",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12132",0,0,1,0,0,0,0,0,0,0,0,0
"hsa-miR-12133",1,2,4,1,0,1,0,1,0,1,0,0
"hsa-miR-12135",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12136",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-122-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-122-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1224-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1224-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1225-3p",0,0,0,0,1,0,0,1,0,0,0,0
"hsa-miR-1225-5p",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-1226-3p",61,47,106,63,162,315,168,106,395,419,153,126
"hsa-miR-1226-5p",34,29,37,33,162,266,145,95,74,57,15,14
"hsa-miR-1227-3p",8,13,4,5,2,7,8,4,1,1,5,1
"hsa-miR-1227-5p",0,0,0,0,0,0,0,0,0,0,1,0
"hsa-miR-1228-3p",15,18,41,32,32,63,48,37,76,104,31,25
"hsa-miR-1228-5p",32,43,47,34,102,149,89,64,86,90,28,22
"hsa-miR-1229-3p",0,0,0,0,0,0,0,0,1,0,1,0
"hsa-miR-1229-5p",0,0,0,0,0,0,0,0,2,0,0,0
"hsa-miR-122b-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-122b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1231",29,23,36,26,105,170,124,78,178,213,64,49
"hsa-miR-1233-3p",49,45,89,64,102,173,122,67,220,302,96,70
"hsa-miR-1233-5p",51,31,52,35,146,338,192,135,115,129,44,24
"hsa-miR-1234-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1236-3p",0,0,0,0,0,0,1,0,0,0,0,0
"hsa-miR-1236-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1237-3p",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-1237-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1238-3p",0,2,2,1,4,2,2,3,2,0,1,1
"hsa-miR-1238-5p",4,6,1,3,14,11,8,1,12,18,2,1
"hsa-miR-124-3p",27,29,63,44,26,23,11,11,28,16,48,28
"hsa-miR-124-5p",66,77,98,86,173,98,105,84,93,235,81,33
"hsa-miR-1243",1,0,0,0,0,0,1,0,0,0,0,0
"hsa-miR-1244",0,0,0,0,0,2,0,1,0,0,0,0
"hsa-miR-1245a",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1245b-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1245b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1246",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1247-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1247-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1248",0,0,0,0,2,0,0,0,0,0,0,0
"hsa-miR-1249-3p",0,0,0,0,1,0,0,0,0,2,0,2
"hsa-miR-1249-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1250-3p",0,0,0,0,1,0,0,0,0,0,0,0
"hsa-miR-1250-5p",0,0,0,0,0,1,0,1,0,0,0,0
"hsa-miR-1251-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1251-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1252-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1252-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1253",0,0,0,0,0,0,0,0,0,0,2,1
"hsa-miR-1255a",0,0,3,1,0,0,0,2,0,5,0,0
"hsa-miR-1255b-2-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1255b-5p",1,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1256",0,0,0,0,0,0,0,1,0,0,0,0
"hsa-miR-1257",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1258",52,44,65,47,188,415,253,147,155,147,40,35
"hsa-miR-125a-3p",1,0,1,2,2,0,0,2,4,4,0,2
"hsa-miR-125a-5p",85,72,120,93,337,730,462,268,287,251,124,90
"hsa-miR-125b-1-3p",0,0,0,0,0,0,0,0,1,0,0,0
"hsa-miR-125b-2-3p",0,0,0,1,0,3,0,0,2,14,0,1
"hsa-miR-125b-5p",0,0,0,0,0,0,0,0,3,1,0,0
"hsa-miR-126-3p",0,0,0,0,0,1,0,0,1,0,0,0
"hsa-miR-126-5p",0,0,0,0,1,3,0,0,1,0,0,0
"hsa-miR-1260a",7,13,9,11,5,23,8,12,40,36,12,4
"hsa-miR-1260b",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1261",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1262",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1263",0,0,0,0,1,0,0,0,0,0,0,0
"hsa-miR-1264",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1265",0,0,1,1,5,6,2,2,8,0,0,1
"hsa-miR-1266-3p",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-1266-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1267",0,0,1,1,1,1,0,0,3,1,0,1
"hsa-miR-1268a",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1268b",0,0,0,0,0,1,0,0,0,0,1,0
"hsa-miR-1269a",0,0,0,0,0,0,1,0,0,0,1,0
"hsa-miR-1269b",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-127-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-127-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1270",0,0,0,1,0,0,1,0,2,2,0,0
"hsa-miR-1271-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1271-5p",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-1272",21,19,40,31,39,59,31,27,117,197,34,23
"hsa-miR-1273c",14,26,29,28,54,78,75,30,59,70,28,20
"hsa-miR-1273h-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1273h-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1275",0,0,1,0,0,2,0,0,1,0,1,0
"hsa-miR-1276",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1277-3p",0,0,0,0,0,2,0,0,0,0,0,0
"hsa-miR-1277-5p",0,0,0,1,0,0,0,0,0,0,0,0
"hsa-miR-1278",0,0,0,0,0,0,1,0,0,0,0,0
"hsa-miR-1279",7,4,9,3,13,25,14,9,26,31,10,5
"hsa-miR-128-1-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-128-2-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-128-3p",0,0,2,0,0,0,0,0,0,0,0,0
"hsa-miR-1281",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1282",0,0,0,0,0,0,1,0,0,0,0,0
"hsa-miR-1283",0,0,0,0,0,0,0,1,0,0,2,0
"hsa-miR-1284",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1285-3p",68,51,46,60,178,273,180,95,230,242,66,66
"hsa-miR-1285-5p",84,93,96,89,74,129,104,53,144,145,59,31
"hsa-miR-1286",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1287-3p",0,0,0,0,1,0,0,0,0,1,0,0
"hsa-miR-1287-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1288-3p",0,0,1,0,0,0,0,0,0,0,0,0
"hsa-miR-1288-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1289",0,0,0,0,1,0,0,1,0,0,0,0
"hsa-miR-129-1-3p",0,0,0,0,1,0,0,0,0,0,0,0
"hsa-miR-129-2-3p",0,0,0,0,0,0,0,0,1,0,0,0
"hsa-miR-129-5p",41,41,47,56,105,143,81,56,236,314,69,55
"hsa-miR-1290",121,94,201,138,261,424,283,144,1006,1141,439,266
"hsa-miR-1291",1,0,0,0,2,2,1,1,1,3,0,0
"hsa-miR-1292-3p",0,0,0,0,1,0,0,0,0,0,1,0
"hsa-miR-1292-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1293",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1294",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1295a",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1295b-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1295b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1296-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1296-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1297",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1298-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1298-5p",0,0,1,0,1,0,0,0,0,1,0,0
"hsa-miR-1299",0,0,1,0,0,0,0,0,1,8,0,0
"hsa-miR-1301-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1301-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1302",78,61,84,74,143,182,135,82,83,95,50,32
"hsa-miR-1303",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1304-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1304-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1305",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1306-3p",0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-1306-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1307-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1307-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-130a-3p",0,0,0,0,0,0,1,0,0,0,0,0
"hsa-miR-130a-5p",0,0,0,0,0,0,0,0,1,0,1,0
"hsa-miR-130b-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-130b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-132-3p",5,14,9,12,27,43,46,26,26,46,8,5
"hsa-miR-132-5p",5,7,14,5,16,13,13,14,53,118,31,14
"hsa-miR-1321",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1322",0,0,1,0,0,0,0,0,0,0,0,0
"hsa-miR-1323",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1324",0,0,0,0,1,0,0,0,0,0,0,1
"hsa-miR-133a-3p",0,0,0,0,3,1,0,0,0,0,0,0
"hsa-miR-133a-5p",0,0,1,0,0,2,0,1,1,0,0,0
"hsa-miR-133b",3,0,0,1,1,0,0,0,1,2,0,0
"hsa-miR-134-3p",0,0,0,0,0,0,1,0,3,0,0,0
"hsa-miR-134-5p",0,0,0,0,0,0,0,0,0,1,0,2
"hsa-miR-1343-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1343-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-135a-2-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-135a-3p",89,89,121,131,239,389,307,187,451,538,117,103
"hsa-miR-135a-5p",77,81,150,119,204,401,302,190,611,851,202,190
"hsa-miR-135b-3p",2,2,4,5,7,12,8,4,5,3,1,2
"hsa-miR-135b-5p",60,51,106,69,134,257,169,90,631,643,256,158
"hsa-miR-136-3p",27,22,50,47,57,108,61,50,138,152,45,35
"hsa-miR-136-5p",89,79,131,110,219,299,167,123,834,1094,206,157
"hsa-miR-137-3p",0,0,0,0,0,0,1,0,0,0,0,0
"hsa-miR-137-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-138-1-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-138-2-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-138-5p",0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-139-3p",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-139-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-140-3p",2,0,0,1,0,1,1,1,8,6,0,0
"hsa-miR-140-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-141-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-141-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-142-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-142-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-143-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-143-5p",0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-144-3p",0,0,0,0,0,0,0,0,1,0,0,0
"hsa-miR-144-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-145-3p",0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-145-5p",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-1468-3p",74,75,198,150,82,221,169,146,247,440,112,174
"hsa-miR-1468-5p",8,11,28,22,3,16,14,3,60,82,11,16
"hsa-miR-1469",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-146a-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-146a-5p",0,0,0,0,1,2,1,0,0,1,0,0
"hsa-miR-146b-3p",0,0,1,0,1,5,0,0,0,0,0,0
"hsa-miR-146b-5p",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-1470",67,46,67,42,221,411,282,150,457,489,175,131
"hsa-miR-1471",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-147a",0,0,0,0,0,6,0,0,0,0,0,0
"hsa-miR-147b-3p",0,0,0,0,0,0,1,0,0,0,0,0
"hsa-miR-147b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-148a-3p",71,62,125,98,184,228,139,97,659,866,156,134
"hsa-miR-148a-5p",7,5,9,4,21,28,20,11,51,60,14,14
"hsa-miR-148b-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-148b-5p",0,0,0,0,1,0,0,0,0,0,0,0
"hsa-miR-149-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-149-5p",0,0,0,0,0,0,0,0,2,0,0,0
"hsa-miR-150-3p",15,28,23,37,85,131,115,45,106,117,34,26
"hsa-miR-150-5p",25,23,30,23,68,184,93,70,108,100,39,22
"hsa-miR-151a-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-151a-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-151b",51,55,92,59,183,325,199,174,278,320,100,95
"hsa-miR-152-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-152-5p",0,0,0,1,0,0,0,0,0,0,0,1
"hsa-miR-153-3p",0,0,0,0,1,1,0,0,0,0,0,0
"hsa-miR-153-5p",0,0,0,0,0,0,1,0,0,0,0,0
"hsa-miR-1537-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1537-5p",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-1538",0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-1539",0,0,0,0,0,0,0,1,0,0,0,0
"hsa-miR-154-3p",5,4,6,4,27,47,40,17,3,1,6,1
"hsa-miR-154-5p",3,3,8,2,4,11,6,3,25,41,9,7
"hsa-miR-155-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-155-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1587",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-15a-3p",0,0,1,1,1,1,0,0,7,6,1,1
"hsa-miR-15a-5p",0,0,0,0,0,0,0,0,0,0,2,0
"hsa-miR-15b-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-15b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-16-1-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-16-2-3p",0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-16-5p",0,1,0,0,0,0,1,0,3,0,0,2
"hsa-miR-17-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-17-5p",1,0,0,1,0,0,0,0,0,0,1,3
"hsa-miR-181a-2-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-181a-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-181a-5p",0,0,0,0,0,0,1,0,0,0,0,0
"hsa-miR-181b-2-3p",38,31,51,46,90,130,82,41,203,258,72,43
"hsa-miR-181b-3p",0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-181b-5p",3,0,2,1,3,5,4,2,1,1,2,1
"hsa-miR-181c-3p",19,18,21,24,83,86,49,23,47,75,20,16
"hsa-miR-181c-5p",161,138,260,201,287,427,276,179,1034,1285,459,345
"hsa-miR-181d-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-181d-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-182-3p",0,0,0,0,2,1,1,0,0,0,0,0
"hsa-miR-182-5p",0,0,1,0,1,6,1,1,1,0,0,0
"hsa-miR-1825",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1827",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-183-3p",168,183,253,215,172,436,196,180,629,536,238,108
"hsa-miR-183-5p",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-184",37,27,69,49,84,124,101,85,111,148,49,44
"hsa-miR-1843",0,2,3,2,1,4,1,0,15,29,7,4
"hsa-miR-185-3p",24,20,21,29,112,126,84,59,52,50,9,9
"hsa-miR-185-5p",10,15,19,10,49,80,48,29,18,10,7,7
"hsa-miR-186-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-186-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-187-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-187-5p",0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-188-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-188-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-18a-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-18a-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-18b-3p",0,0,0,0,0,0,0,0,0,0,0,0
