"gene_id","SRR2105143.count","SRR2105144.count","SRR2105145.count","SRR2105146.count","SRR2105187.count","SRR2105188.count","SRR2105193.count","SRR2105194.count","SRR2105197.count","SRR2105198.count","SRR2105275.count","SRR2105276.count","SRR2105277.count","SRR2105319.count","SRR2105320.count","SRR2105321.count","SRR2105322.count","SRR2105325.count","SRR2105326.count","SRR2105373.count","SRR2105374.count","SRR2105375.count","SRR2105431.count","SRR2105432.count","SRR2105437.count","SRR2105438.count","SRR2105471.count","SRR2105472.count","SRR2105487.count","SRR2105488.count"
"hsa-miR-4651",48.9931899465974,0,0,0,0,18.3901281791934,0,0,0,25.442055718102,0,0,0,0,13.733434045183,0,0,24.217179667256,0,45.9727841118058,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4652-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4652-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4653-3p",0,20.1576326876172,79.1985110679919,0,0,0,0,0,0,50.884111436204,0,0,0,0,13.733434045183,0,0,0,0,0,0,0,0,0,31.4618760716702,25.1968503937008,0,0,0,0
"hsa-miR-4653-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4654",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4655-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4655-5p",146.979569839792,20.1576326876172,2059.16128776779,1965.63452449313,39.0502967822555,18.3901281791934,3094.23347398031,3721.97881662342,0,0,105.233618633366,49.37133829241,0,62.4258692802297,68.667170225915,1848.67291694177,2048.89833488785,0,15.2902860812526,91.9455682236116,81.127126206766,0,163.63264471262,51.3109959464313,0,0,0,26.1985852763951,43.8096907035836,0
"hsa-miR-4656",0,0,0,0,0,0,0,0,0,0,70.1557457555774,0,0,0,0,33.0120163739601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4657",0,0,0,0,78.1005935645111,0,46.882325363338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4658",244.965949732987,141.10342881332,237.595533203976,198.772030566721,117.150890346767,128.730897254354,187.529301453352,233.952954187758,264.305537201004,432.514947207734,245.545110144521,246.85669146205,362.515860068878,62.4258692802297,425.736455400673,198.072098243761,183.483432975031,242.17179667256,229.354291218789,505.700625229864,189.296627815787,399.090074629844,245.44896706893,239.45131441668,188.771256430021,264.566929133858,470.865214832254,497.773120251506,613.335669850171,466.981650368091
"hsa-miR-4659a-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4659a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4659b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4659b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-466",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4660",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4661-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4661-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
